ZCTA5,STATE,STUSAB,STATE_NAME
1756,25,MA,Massachusetts
1757,25,MA,Massachusetts
1760,25,MA,Massachusetts
1770,25,MA,Massachusetts
1772,25,MA,Massachusetts
1773,25,MA,Massachusetts
1775,25,MA,Massachusetts
1776,25,MA,Massachusetts
1778,25,MA,Massachusetts
1801,25,MA,Massachusetts
1803,25,MA,Massachusetts
1810,25,MA,Massachusetts
1821,25,MA,Massachusetts
1824,25,MA,Massachusetts
1826,25,MA,Massachusetts
1827,25,MA,Massachusetts
1830,25,MA,Massachusetts
1832,25,MA,Massachusetts
1833,25,MA,Massachusetts
1834,25,MA,Massachusetts
1835,25,MA,Massachusetts
1840,25,MA,Massachusetts
1841,25,MA,Massachusetts
1843,25,MA,Massachusetts
1844,25,MA,Massachusetts
1845,25,MA,Massachusetts
1850,25,MA,Massachusetts
1851,25,MA,Massachusetts
1852,25,MA,Massachusetts
1854,25,MA,Massachusetts
1860,25,MA,Massachusetts
1862,25,MA,Massachusetts
1863,25,MA,Massachusetts
1864,25,MA,Massachusetts
1867,25,MA,Massachusetts
1876,25,MA,Massachusetts
1879,25,MA,Massachusetts
1880,25,MA,Massachusetts
1886,25,MA,Massachusetts
1887,25,MA,Massachusetts
1890,25,MA,Massachusetts
1901,25,MA,Massachusetts
1902,25,MA,Massachusetts
1904,25,MA,Massachusetts
1905,25,MA,Massachusetts
1906,25,MA,Massachusetts
1907,25,MA,Massachusetts
1908,25,MA,Massachusetts
1913,25,MA,Massachusetts
1915,25,MA,Massachusetts
1921,25,MA,Massachusetts
1922,25,MA,Massachusetts
1923,25,MA,Massachusetts
1929,25,MA,Massachusetts
1930,25,MA,Massachusetts
1937,25,MA,Massachusetts
1938,25,MA,Massachusetts
1940,25,MA,Massachusetts
1944,25,MA,Massachusetts
1945,25,MA,Massachusetts
1949,25,MA,Massachusetts
1950,25,MA,Massachusetts
1951,25,MA,Massachusetts
1952,25,MA,Massachusetts
1960,25,MA,Massachusetts
1966,25,MA,Massachusetts
1969,25,MA,Massachusetts
1970,25,MA,Massachusetts
1982,25,MA,Massachusetts
1983,25,MA,Massachusetts
1984,25,MA,Massachusetts
1985,25,MA,Massachusetts
2019,25,MA,Massachusetts
2021,25,MA,Massachusetts
2025,25,MA,Massachusetts
2026,25,MA,Massachusetts
2030,25,MA,Massachusetts
2032,25,MA,Massachusetts
2035,25,MA,Massachusetts
2038,25,MA,Massachusetts
2043,25,MA,Massachusetts
2045,25,MA,Massachusetts
2047,25,MA,Massachusetts
2048,25,MA,Massachusetts
2050,25,MA,Massachusetts
2052,25,MA,Massachusetts
2053,25,MA,Massachusetts
2054,25,MA,Massachusetts
2056,25,MA,Massachusetts
2061,25,MA,Massachusetts
2062,25,MA,Massachusetts
2066,25,MA,Massachusetts
2067,25,MA,Massachusetts
2071,25,MA,Massachusetts
2072,25,MA,Massachusetts
2081,25,MA,Massachusetts
2090,25,MA,Massachusetts
2093,25,MA,Massachusetts
2108,25,MA,Massachusetts
2109,25,MA,Massachusetts
2110,25,MA,Massachusetts
2111,25,MA,Massachusetts
2113,25,MA,Massachusetts
2114,25,MA,Massachusetts
2115,25,MA,Massachusetts
2116,25,MA,Massachusetts
2118,25,MA,Massachusetts
2119,25,MA,Massachusetts
2120,25,MA,Massachusetts
2121,25,MA,Massachusetts
2122,25,MA,Massachusetts
2124,25,MA,Massachusetts
2125,25,MA,Massachusetts
2126,25,MA,Massachusetts
2127,25,MA,Massachusetts
2128,25,MA,Massachusetts
2129,25,MA,Massachusetts
2130,25,MA,Massachusetts
2131,25,MA,Massachusetts
2132,25,MA,Massachusetts
2134,25,MA,Massachusetts
2135,25,MA,Massachusetts
2136,25,MA,Massachusetts
2138,25,MA,Massachusetts
2139,25,MA,Massachusetts
2140,25,MA,Massachusetts
2141,25,MA,Massachusetts
2142,25,MA,Massachusetts
2143,25,MA,Massachusetts
2144,25,MA,Massachusetts
2145,25,MA,Massachusetts
2148,25,MA,Massachusetts
2149,25,MA,Massachusetts
2150,25,MA,Massachusetts
2151,25,MA,Massachusetts
2152,25,MA,Massachusetts
2155,25,MA,Massachusetts
2163,25,MA,Massachusetts
2169,25,MA,Massachusetts
2170,25,MA,Massachusetts
2171,25,MA,Massachusetts
2176,25,MA,Massachusetts
2180,25,MA,Massachusetts
2184,25,MA,Massachusetts
2186,25,MA,Massachusetts
2188,25,MA,Massachusetts
2189,25,MA,Massachusetts
2190,25,MA,Massachusetts
2191,25,MA,Massachusetts
2199,25,MA,Massachusetts
2203,25,MA,Massachusetts
2210,25,MA,Massachusetts
2215,25,MA,Massachusetts
2301,25,MA,Massachusetts
2302,25,MA,Massachusetts
2322,25,MA,Massachusetts
2324,25,MA,Massachusetts
2330,25,MA,Massachusetts
2332,25,MA,Massachusetts
2333,25,MA,Massachusetts
2338,25,MA,Massachusetts
2339,25,MA,Massachusetts
2341,25,MA,Massachusetts
2343,25,MA,Massachusetts
2346,25,MA,Massachusetts
2347,25,MA,Massachusetts
2351,25,MA,Massachusetts
2356,25,MA,Massachusetts
2357,25,MA,Massachusetts
2359,25,MA,Massachusetts
2360,25,MA,Massachusetts
2364,25,MA,Massachusetts
2366,25,MA,Massachusetts
2367,25,MA,Massachusetts
2368,25,MA,Massachusetts
2370,25,MA,Massachusetts
2375,25,MA,Massachusetts
2379,25,MA,Massachusetts
2382,25,MA,Massachusetts
2420,25,MA,Massachusetts
2421,25,MA,Massachusetts
2445,25,MA,Massachusetts
2446,25,MA,Massachusetts
2451,25,MA,Massachusetts
2452,25,MA,Massachusetts
2453,25,MA,Massachusetts
2457,25,MA,Massachusetts
2458,25,MA,Massachusetts
2459,25,MA,Massachusetts
2460,25,MA,Massachusetts
2461,25,MA,Massachusetts
2462,25,MA,Massachusetts
2464,25,MA,Massachusetts
2465,25,MA,Massachusetts
2466,25,MA,Massachusetts
2467,25,MA,Massachusetts
2468,25,MA,Massachusetts
2472,25,MA,Massachusetts
2474,25,MA,Massachusetts
2476,25,MA,Massachusetts
2478,25,MA,Massachusetts
2481,25,MA,Massachusetts
2482,25,MA,Massachusetts
2492,25,MA,Massachusetts
2493,25,MA,Massachusetts
2494,25,MA,Massachusetts
2532,25,MA,Massachusetts
2534,25,MA,Massachusetts
2535,25,MA,Massachusetts
2536,25,MA,Massachusetts
2537,25,MA,Massachusetts
2538,25,MA,Massachusetts
2539,25,MA,Massachusetts
2540,25,MA,Massachusetts
2542,25,MA,Massachusetts
2543,25,MA,Massachusetts
2553,25,MA,Massachusetts
2554,25,MA,Massachusetts
2556,25,MA,Massachusetts
2557,25,MA,Massachusetts
2558,25,MA,Massachusetts
2559,25,MA,Massachusetts
2561,25,MA,Massachusetts
2562,25,MA,Massachusetts
2563,25,MA,Massachusetts
2564,25,MA,Massachusetts
2568,25,MA,Massachusetts
2571,25,MA,Massachusetts
2575,25,MA,Massachusetts
2576,25,MA,Massachusetts
2584,25,MA,Massachusetts
2601,25,MA,Massachusetts
2630,25,MA,Massachusetts
2631,25,MA,Massachusetts
2632,25,MA,Massachusetts
2633,25,MA,Massachusetts
2635,25,MA,Massachusetts
2637,25,MA,Massachusetts
2638,25,MA,Massachusetts
2639,25,MA,Massachusetts
2641,25,MA,Massachusetts
2642,25,MA,Massachusetts
2643,25,MA,Massachusetts
